RC101

VEHICLE
NUMBER     CAPACITY
 6    15

CUSTOMER
CUST NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
 
 0           106.500000          29.608000          0               0          210           0               
 1           106.502428          29.608573          0.2            30          60           2
 2           106.504975          29.596973           2              30          60            2 
 3           106.509885          29.591386          1.4            60          90            2
 4           106.495566          29.600707           2.6           30          60            2
 5           106.498491          29.589307          3.8            30          60            2
 6           106.508069          29.613686          5.2            90          120          2
 7           106.50834            29.59379            0.6            30          60            2
 8           106.490223          29.589669           1              30           60            2
 9           106.505905          29.593419         1.8              30           60             2
 10         106.511549          29.59576           3.2               60          90              2
 11         106.513931          29.594019         3.2               60          90              2
 12         106.517376         29.605248          2.4                90         120            2
 13         106.510855         29.596779          3.8                 60          90                2
 14         106.50898           29.608819         4.6                  60          90                2
 15         106.505973         29.604086         4                      60          90                2
 16         106.502969         29.609501         1.6                    60          90               2
 17         106.506386         29.610473         3.8                   60          90              2
 18         106.491901         29.596085         0.4                   30          60                2
 19         106.512039         29.593212         2.4                    60          90                 2
 20         106.49466           29.592797        3.4                    30          60                  2
 21         106.50985           29.610874        1.8                   90          120                2
 22         106.504962         29.606917        2.2                    90          120                 2
 23         106.508922         29.605348       3.6                     60          90                   2
 24         106.49694           29.607165        5.8                   30          60                  2
 25         106.504335          29.602805       0.6                    60          90               2
 26         106.5085             29.609376        1.2                  60          90               2
 27         106.52111           29.607198        3.4                   60          90               2
 28         106.506798          29.59539         3.2                   30          60                 2
 29         106.511534          29.598928       3.2                     60          90                  2
